Kevoyuan/dsh-mac-vision	BUNDLE_PATCH	patch=string dsdeps=6 cordis=1
KitDoesIt/dsh-compaction-instant	BUNDLE_PATCH	patch=string dsdeps=10 cordis=1
KureKaruna/dsh-at	BUNDLE_PATCH	patch=string dsdeps=1 cordis=1
KeLearns/dsh-update-checker	HAS_DSH_NO_PATCH	dsdeps=0 cordis=0
LKRCharon/dsh-egress-guard	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
JustGenius-s/DSH-Plugs	NO_DSH_FIELD	dsdeps=0 cordis=0
LJH-snow/dsh-tool-github	NO_DSH_FIELD	dsdeps=2 cordis=1
KirschBluteX/engineer-software	NO_PACKAGE_JSON	-
LaoYueHanNi/dsh-token-usage	BUNDLE_PATCH	patch=string dsdeps=5 cordis=1
KinGao294/dsh-skin	BUNDLE_PATCH	patch=string dsdeps=5 cordis=1
LaplaceYoung/dsh-qq2006	NO_DSH_FIELD	dsdeps=3 cordis=1
LaplaceYoung/oh-my-dsh	NO_DSH_FIELD	dsdeps=0 cordis=1
Lbryany/dsh-codebuddy	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
Leawind/dsh-minecraft-dev	NO_PACKAGE_JSON	-
KnCRJVirX/dsh-desktop	NO_DSH_FIELD	dsdeps=20 cordis=1
LX2000WASD/dsh-web-plugin-manager	BUNDLE_PATCH	patch=string dsdeps=12 cordis=2
Lehmaning/dsh-randomuuid-polyfill	HAS_DSH_NO_PATCH	dsdeps=0 cordis=0
Komeiji-Shiki/graycode-for-dsh	NO_DSH_FIELD	dsdeps=0 cordis=0
LiangYin233/dsh-model-config-sync	BUNDLE_PATCH	patch=string dsdeps=7 cordis=1
LingLambda/dsh-undo	BUNDLE_PATCH	patch=string dsdeps=11 cordis=1
Lixiaoyiao/deepseek-harness-action	NO_DSH_FIELD	dsdeps=1 cordis=0
Leeaoyin/dr-agent-skills	NO_PACKAGE_JSON	-
LnsiAxe/dsh-web-restart	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
LoftyTao/dsh-ui-workbench	BUNDLE_PATCH	patch=string dsdeps=7 cordis=2
Liu-ty/dsh-balance-display	BUNDLE_PATCH	patch=string dsdeps=1 cordis=1
LoserFox/dsh-git-identity	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
LingyeSoul/dsh-rider	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
LoserFox/telegram	BUNDLE_PATCH	patch=string dsdeps=5 cordis=1
LuZhouheng/dsh-gen3d	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
Luke-Yong/dsh-plugin-knowledge-graph	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
Lyn-77/ProMentor	NO_PACKAGE_JSON	-
Luaphes/dsh-web-attention-badge	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Luaphes/dsh-plugins-market	NO_PACKAGE_JSON	-
MAXeaglet/dsh-bash-terminal	BUNDLE_PATCH	patch=string dsdeps=12 cordis=1
MaimoryLab/dib	NO_PACKAGE_JSON	-
Lum1104/dsh-browser	NO_DSH_FIELD	dsdeps=1 cordis=0
LoserFox/distill	BUNDLE_PATCH	patch=string dsdeps=9 cordis=1
MashedPotato817/dsh-git-plugin	NO_DSH_FIELD	dsdeps=6 cordis=1
Mappedinfo/PlainDeck	NO_DSH_FIELD	dsdeps=0 cordis=0
MashedPotato817/dsh-tool-browser	NO_DSH_FIELD	dsdeps=4 cordis=1
MashedPotato817/dsh-tui	NO_DSH_FIELD	dsdeps=0 cordis=0
MOLAaaaaaaa/dsh-seismicx	BUNDLE_PATCH	patch=string dsdeps=5 cordis=1
Miku196/dsh-tokensave	NO_DSH_FIELD	dsdeps=1 cordis=0
MC5lan/dsh-multimodal	BUNDLE_PATCH	patch=string dsdeps=14 cordis=1
Meredith2328/dsh-sticky-note	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
Mingxi2077/dsh-plugin-review	BUNDLE_PATCH	patch=string dsdeps=1 cordis=1
MirDie/dsh-xai	BUNDLE_PATCH	patch=string dsdeps=13 cordis=1
MicroHEROX/dsh-exa-mcp	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Mintcolour/dsh-sidechat	BUNDLE_PATCH	patch=string dsdeps=24 cordis=1
Moeblack/deepseek-manners	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
Moeblack/dsh-message-edit	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Moeblack/dsh-prompt-studio	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
Moeblack/dsh-skins	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
MorGogh/widget-dock	HAS_DSH_NO_PATCH	dsdeps=0 cordis=0
MoonShadow1976/chiral-pulse	BUNDLE_PATCH	patch=string dsdeps=7 cordis=1
Moeblack/dsh-payload-capture	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
MostlyHarmlessxyz/dsh-safe-web-fetch	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
MuziIsabel/dsh-win-notify	BUNDLE_PATCH	patch=string dsdeps=1 cordis=0
Moximxxx/dsh-find-skill	BUNDLE_PATCH	patch=string dsdeps=6 cordis=1
Mongfayi/dsh-recall	BUNDLE_PATCH	patch=string dsdeps=3 cordis=1
MysaDC/dsh-plugin-description	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
NEXTINDIE/DeepSeek-Harness-for-VS-Code	NO_DSH_FIELD	dsdeps=0 cordis=0
Nagi-ovo/dsh-find-plugins	NO_PACKAGE_JSON	-
Nagi-ovo/dsh-visualize	BUNDLE_PATCH	patch=string dsdeps=12 cordis=1
Mongfayi/dsh-local-filetree	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
Nagi-ovo/dsh-ads	BUNDLE_PATCH	patch=string dsdeps=8 cordis=1
NigelYao/dsh-view-modes	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
NinjaSln-labs/dsh-plugins	NO_DSH_FIELD	dsdeps=0 cordis=0
NoWint/Oh-My-DSH	NO_PACKAGE_JSON	-
NexusAgentX/dsh-lens	BUNDLE_PATCH	patch=string dsdeps=10 cordis=1
Nexus-Aethra/DSH-plugin-switch	BUNDLE_PATCH	patch=string dsdeps=5 cordis=2
Nunchakus888/dsh-turn-budget	BUNDLE_PATCH	patch=string dsdeps=8 cordis=1
Nwflower/dsh-chat-import	BUNDLE_PATCH	patch=string dsdeps=1 cordis=0
Nwflower/dsh-file-claim	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
NexusAgentX/dsh-mcp-adapter	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
NanmiCoder/dsh-agent-teams	BUNDLE_PATCH	patch=string dsdeps=13 cordis=1
Ox0400/dsh-vault	BUNDLE_PATCH	patch=string dsdeps=8 cordis=1
PangYiMing/dsh-port-guard	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
PangYiMing/dsh-screenshot-diff	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
PeanutsDou/peanut-dsh-plugin	NO_PACKAGE_JSON	-
PangYiMing/dsh-mobile-control	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
PangYiMing/dsh-browser-control	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
Opr4Mp3r/deepseek-harness-plugin-from-scratch	BUNDLE_PATCH	patch=string dsdeps=10 cordis=3
PangYiMing/dsh-batch-regression	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
PM-Shawn/Abu-Cowork	NO_DSH_FIELD	dsdeps=0 cordis=0
PerryLink/dsh-claude-move	BUNDLE_PATCH	patch=string dsdeps=3 cordis=1
PerryLink/dsh-checkpoint-rewind	BUNDLE_PATCH	patch=string dsdeps=9 cordis=1
PerryLink/dsh-doublecheck	BUNDLE_PATCH	patch=string dsdeps=9 cordis=1
PerryLink/dsh-github	BUNDLE_PATCH	patch=string dsdeps=7 cordis=1
PerryLink/dsh-composer-history	HAS_DSH_NO_PATCH	dsdeps=2 cordis=1
PerryLink/dsh-lsp-actions	BUNDLE_PATCH	patch=string dsdeps=11 cordis=1
PerryLink/dsh-background-agents	BUNDLE_PATCH	patch=string dsdeps=1 cordis=1
PerryLink/dsh-mcp-panel	BUNDLE_PATCH	patch=string dsdeps=9 cordis=2
PerryLink/dsh-output-styles	NO_DSH_FIELD	dsdeps=18 cordis=1
PerryLink/dsh-memento	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
PerryLink/dsh-permission-rules	BUNDLE_PATCH	patch=string dsdeps=9 cordis=1
PerryLink/dsh-auto-review	BUNDLE_PATCH	patch=string dsdeps=11 cordis=1
PicGo/dsh-plugin	BUNDLE_PATCH	patch=string dsdeps=5 cordis=1
PerryLink/dsh-session-pin	HAS_DSH_NO_PATCH	dsdeps=6 cordis=1
PerryLink/dsh-plugin-guide	NO_PACKAGE_JSON	-
PivotStackIntelligence/dsh-github	BUNDLE_PATCH	patch=string dsdeps=11 cordis=1
Player-MINEPIG/dsh-llm-codex-oauth	BUNDLE_PATCH	patch=string dsdeps=3 cordis=1
PixLunaLab/dsh-plugin-pixluna	BUNDLE_PATCH	patch=string dsdeps=5 cordis=1
Porphyrioon/ironlaw	NO_DSH_FIELD	dsdeps=0 cordis=0
PlutoKeating/dsh-lark-bot	NO_DSH_FIELD	dsdeps=1 cordis=0
PangYiMing/dsh-bisect-debug	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
RNlao/dsh-wallpaper	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
PerryLink/dsh-skill-pack-security	NO_PACKAGE_JSON	-
RYun601/dsh-launcher	NO_PACKAGE_JSON	-
RangeKing/vibemeter	NO_DSH_FIELD	dsdeps=0 cordis=0
RRRosmontis/dsh-qwen-mm	BUNDLE_PATCH	patch=string dsdeps=9 cordis=1
Qintsg/dsh-safe-delete	HAS_DSH_NO_PATCH	dsdeps=7 cordis=1
Proton1917/dsh-live-stats	HAS_DSH_NO_PATCH	dsdeps=8 cordis=1
RealAlexandreAI/dsh-nocturne-memory	BUNDLE_PATCH	patch=string dsdeps=3 cordis=1
Ruler4396/dsh-launcher	NO_PACKAGE_JSON	-
Roy-oss1/dsh-lark	BUNDLE_PATCH	patch=string dsdeps=3 cordis=2
Ruler4396/dsh-launcher-lifetime	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
RealAlexandreAI/dsh-atuin	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
STARDUSTLC666/dsh-dingtalk	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
RealAlexandreAI/dsh-cloudflare-browser-run	BUNDLE_PATCH	patch=string dsdeps=3 cordis=1
STARDUSTLC666/dsh-email	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
STARDUSTLC666/dsh-calendar	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
SakalioLabs/dsh-code-ide	NO_PACKAGE_JSON	-
Scorp1o117/dsh-soul-md	HAS_DSH_NO_PATCH	dsdeps=3 cordis=0
Scorp1o117/dsh-plugin-marketplace	HAS_DSH_NO_PATCH	dsdeps=0 cordis=0
RealAlexandreAI/dsh-all-search	BUNDLE_PATCH	patch=string dsdeps=3 cordis=1
Scorp1o117/dsh-tool-vision	HAS_DSH_NO_PATCH	dsdeps=3 cordis=0
SenmuuuuW/dsh-group-photo	NO_DSH_FIELD	dsdeps=0 cordis=0
Sdongmaker/vpshub	NO_DSH_FIELD	dsdeps=2 cordis=1
Scorp1o117/dsh-tdai-memory	HAS_DSH_NO_PATCH	dsdeps=3 cordis=0
Sev7een/ds-api-usage	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
STARDUSTLC666/dsh-slack	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
ShawnSiao/dsh-credentials-keychain	NO_PACKAGE_JSON	-
ShawnSiao/dsh-agent-eval	NO_PACKAGE_JSON	-
SepineTam/mcp-for-stata	NO_PACKAGE_JSON	-
Shmilyol/galgame-skin	NO_PACKAGE_JSON	-
SeverusZh/dsh-notify-windows	NO_DSH_FIELD	dsdeps=0 cordis=0
Small-tailqwq/dsh-deep-whale	NO_PACKAGE_JSON	-
Small-tailqwq/dsh-deepcel	NO_PACKAGE_JSON	-
Small-tailqwq/dsh-tps	BUNDLE_PATCH	patch=string dsdeps=4 cordis=1
SnowCrescenter-tech/dsh-launcher	NO_PACKAGE_JSON	-
Spirit4471/multimodal-bridge	NO_PACKAGE_JSON	-
Spirtxiaoqi7/mindspace-dsh-session-memory	BUNDLE_PATCH	patch=string dsdeps=6 cordis=0
Starfie1d1272/dsh-builtin-toggles	BUNDLE_PATCH	patch=string dsdeps=8 cordis=2
SiYue-ZO/dsh-translator	BUNDLE_PATCH	patch=string dsdeps=6 cordis=1
Sunrisepeak/dsh-index	NO_PACKAGE_JSON	-
TYEclipse/dsh-netdoctor	HAS_DSH_NO_PATCH	dsdeps=4 cordis=1
TYEclipse/dsh-plugins-hub	NO_PACKAGE_JSON	-
Simon314620/dsh-turn-index	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
THU-MAIC/dsh-openmaic	BUNDLE_PATCH	patch=string dsdeps=7 cordis=1
TecFancy/dsh-deeptutor	BUNDLE_PATCH	patch=string dsdeps=2 cordis=1
TheChengXi/intent-flow	NO_DSH_FIELD	dsdeps=0 cordis=0
TheYoungChen/dsh-plugin-market	BUNDLE_PATCH	patch=string dsdeps=0 cordis=0
